Municipio,Año,Subtipo de delito,Valor
Agua Prieta,2026,Robo de vehículo automotor - Coche de 4 ruedas,5
Agua Prieta,2026,Robo de vehículo automotor - Embarcaciones,0
Agua Prieta,2026,Robo de vehículo automotor - Motocicleta,1
Agua Prieta,2026,Robo en transporte individual,0
Agua Prieta,2026,Robo en transporte público colectivo,0
Agua Prieta,2026,Robo en transporte público individual,0
Agua Prieta,2026,Secuestro con calidad de rehén,0
Agua Prieta,2026,Secuestro exprés,0
Agua Prieta,2026,Secuestro extorsivo,0
Agua Prieta,2026,Secuestro para causar daño,0
Agua Prieta,2026,Suplantación y usurpación de identidad,0
Agua Prieta,2026,Tentativa de extorsión por otros medios,0
Agua Prieta,2026,Tentativa de extorsión presencial,0
Agua Prieta,2026,Tentativa de feminicidio,1
Agua Prieta,2026,Tentativa de homicidio doloso,1
Agua Prieta,2026,Tortura,0
Agua Prieta,2026,Trata de personas con fines de explotación sexual,0
Agua Prieta,2026,Trata de personas con fines de trabajo o servicios forzados,0
Agua Prieta,2026,Trata de personas con fines de tráfico de órganos,0
Agua Prieta,2026,Trata de personas con otros fines,0
Agua Prieta,2026,Tráfico de menores,0
Agua Prieta,2026,Violación a la intimidad sexual,0
Agua Prieta,2026,Violación equiparada,1
Agua Prieta,2026,Violación simple,2
Agua Prieta,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,1
Agua Prieta,2026,Violencia familiar,33
Altar,2026,Aborto,0
Altar,2026,Abuso de confianza,0
Altar,2026,Abuso sexual,0
Altar,2026,Acoso sexual,0
Altar,2026,Allanamiento de morada,0
Altar,2026,Amenazas,0
Altar,2026,Contra el medio ambiente,0
Altar,2026,Corrupción de menores,0
Altar,2026,Daño a la propiedad,0
Altar,2026,Delitos cometidos por servidores públicos,0
Altar,2026,Delitos contra la administración de justicia,0
Altar,2026,Despojo,1
Altar,2026,Discriminación,0
Altar,2026,Electorales,0
Altar,2026,Evasión de presos,0
Altar,2026,Extorsión por otros medios,0
Altar,2026,Extorsión presencial,0
Altar,2026,Falsedad,0
Altar,2026,Falsificación,0
Altar,2026,Feminicidio,0
Altar,2026,Fraude,0
Altar,2026,Homicidio culposo,0
Altar,2026,Homicidio doloso,0
Altar,2026,Hostigamiento sexual,0
Altar,2026,Incesto,0
Altar,2026,Incumplimiento de obligaciones de asistencia familiar,0
Altar,2026,Lesiones culposas,0
Altar,2026,Lesiones dolosas,0
Altar,2026,Narcomenudeo con fines de venta,4
Altar,2026,Narcomenudeo posesión simple,0
Altar,2026,Otros delitos contra el patrimonio,2
Altar,2026,Otros delitos contra la familia,0
Altar,2026,Otros delitos contra la sociedad,0
Altar,2026,Otros delitos del Fuero Común,3
Altar,2026,Otros delitos que atentan contra la libertad personal,1
Altar,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,1
Altar,2026,Otros delitos que atentan contra la vida y la integridad corporal,0
Altar,2026,Otros robos,0
Altar,2026,Pornografía infantil,0
Altar,2026,Privación ilegal de la libertad,1
Altar,2026,Rapto,0
Altar,2026,Retención o sustracción de menores e incapaces,0
Altar,2026,Robo a casa habitación,0
Altar,2026,Robo a institución bancaria,0
Altar,2026,Robo a negocio,0
Altar,2026,Robo a transeúnte en espacio abierto al público,0
Altar,2026,Robo a transeúnte en vía pública,0
Altar,2026,Robo a transportista,0
Altar,2026,Robo de autopartes,0
Altar,2026,Robo de ganado,0
Altar,2026,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",0
Altar,2026,Robo de maquinaria - Herramienta industrial o agrícola,0
Altar,2026,Robo de maquinaria - Tractores y/o montacargas,0
Altar,2026,Robo de vehículo automotor - Coche de 4 ruedas,2
Altar,2026,Robo de vehículo automotor - Embarcaciones,0
Altar,2026,Robo de vehículo automotor - Motocicleta,0
Altar,2026,Robo en transporte individual,0
Altar,2026,Robo en transporte público colectivo,0
Altar,2026,Robo en transporte público individual,0
Altar,2026,Secuestro con calidad de rehén,0
Altar,2026,Secuestro exprés,0
Altar,2026,Secuestro extorsivo,0
Altar,2026,Secuestro para causar daño,0
Altar,2026,Suplantación y usurpación de identidad,0
Altar,2026,Tentativa de extorsión por otros medios,0
Altar,2026,Tentativa de extorsión presencial,0
Altar,2026,Tentativa de feminicidio,0
Altar,2026,Tentativa de homicidio doloso,1
Altar,2026,Tortura,0
Altar,2026,Trata de personas con fines de explotación sexual,0
Altar,2026,Trata de personas con fines de trabajo o servicios forzados,0
Altar,2026,Trata de personas con fines de tráfico de órganos,0
Altar,2026,Trata de personas con otros fines,0
Altar,2026,Tráfico de menores,0
Altar,2026,Violación a la intimidad sexual,0
Altar,2026,Violación equiparada,0
Altar,2026,Violación simple,0
Altar,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
Altar,2026,Violencia familiar,0
Arivechi,2026,Aborto,0
Arivechi,2026,Abuso de confianza,0
Arivechi,2026,Abuso sexual,0
Arivechi,2026,Acoso sexual,0
Arivechi,2026,Allanamiento de morada,0
Arivechi,2026,Amenazas,0
Arivechi,2026,Contra el medio ambiente,0
Arivechi,2026,Corrupción de menores,0
Arivechi,2026,Daño a la propiedad,0
Arivechi,2026,Delitos cometidos por servidores públicos,0
Arivechi,2026,Delitos contra la administración de justicia,0
Arivechi,2026,Despojo,0
Arivechi,2026,Discriminación,0
Arivechi,2026,Electorales,0
Arivechi,2026,Evasión de presos,0
Arivechi,2026,Extorsión por otros medios,0
Arivechi,2026,Extorsión presencial,0
Arivechi,2026,Falsedad,0
Arivechi,2026,Falsificación,0
Arivechi,2026,Feminicidio,0
Arivechi,2026,Fraude,0
Arivechi,2026,Homicidio culposo,0
Arivechi,2026,Homicidio doloso,0
Arivechi,2026,Hostigamiento sexual,0
Arivechi,2026,Incesto,0
Arivechi,2026,Incumplimiento de obligaciones de asistencia familiar,1
Arivechi,2026,Lesiones culposas,0
Arivechi,2026,Lesiones dolosas,0
Arivechi,2026,Narcomenudeo con fines de venta,0
Arivechi,2026,Narcomenudeo posesión simple,0
Arivechi,2026,Otros delitos contra el patrimonio,0
Arivechi,2026,Otros delitos contra la familia,0
Arivechi,2026,Otros delitos contra la sociedad,0
Arivechi,2026,Otros delitos del Fuero Común,0
Arivechi,2026,Otros delitos que atentan contra la libertad personal,0
Arivechi,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,0
Arivechi,2026,Otros delitos que atentan contra la vida y la integridad corporal,0
Arivechi,2026,Otros robos,1
Arivechi,2026,Pornografía infantil,0
Arivechi,2026,Privación ilegal de la libertad,0
Arivechi,2026,Rapto,0
Arivechi,2026,Retención o sustracción de menores e incapaces,0
Arivechi,2026,Robo a casa habitación,0
Arivechi,2026,Robo a institución bancaria,0
Arivechi,2026,Robo a negocio,0
Arivechi,2026,Robo a transeúnte en espacio abierto al público,0
Arivechi,2026,Robo a transeúnte en vía pública,0
Arivechi,2026,Robo a transportista,0
Arivechi,2026,Robo de autopartes,0
Arivechi,2026,Robo de ganado,0
Arivechi,2026,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",0
Arivechi,2026,Robo de maquinaria - Herramienta industrial o agrícola,0
Arivechi,2026,Robo de maquinaria - Tractores y/o montacargas,0
Arivechi,2026,Robo de vehículo automotor - Coche de 4 ruedas,0
Arivechi,2026,Robo de vehículo automotor - Embarcaciones,0
Arivechi,2026,Robo de vehículo automotor - Motocicleta,0
Arivechi,2026,Robo en transporte individual,0
Arivechi,2026,Robo en transporte público colectivo,0
Arivechi,2026,Robo en transporte público individual,0
Arivechi,2026,Secuestro con calidad de rehén,0
Arivechi,2026,Secuestro exprés,0
Arivechi,2026,Secuestro extorsivo,0
Arivechi,2026,Secuestro para causar daño,0
Arivechi,2026,Suplantación y usurpación de identidad,0
Arivechi,2026,Tentativa de extorsión por otros medios,0
Arivechi,2026,Tentativa de extorsión presencial,0
Arivechi,2026,Tentativa de feminicidio,0
Arivechi,2026,Tentativa de homicidio doloso,0
Arivechi,2026,Tortura,0
Arivechi,2026,Trata de personas con fines de explotación sexual,0
Arivechi,2026,Trata de personas con fines de trabajo o servicios forzados,0
Arivechi,2026,Trata de personas con fines de tráfico de órganos,0
Arivechi,2026,Trata de personas con otros fines,0
Arivechi,2026,Tráfico de menores,0
Arivechi,2026,Violación a la intimidad sexual,0
Arivechi,2026,Violación equiparada,0
Arivechi,2026,Violación simple,0
Arivechi,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
Arivechi,2026,Violencia familiar,0
Arizpe,2026,Aborto,0
Arizpe,2026,Abuso de confianza,0
Arizpe,2026,Abuso sexual,0
Arizpe,2026,Acoso sexual,0
Arizpe,2026,Allanamiento de morada,0
Arizpe,2026,Amenazas,0
Arizpe,2026,Contra el medio ambiente,0
Arizpe,2026,Corrupción de menores,0
Arizpe,2026,Daño a la propiedad,0
Arizpe,2026,Delitos cometidos por servidores públicos,0
Arizpe,2026,Delitos contra la administración de justicia,0
Arizpe,2026,Despojo,0
Arizpe,2026,Discriminación,0
Arizpe,2026,Electorales,0
Arizpe,2026,Evasión de presos,0
Arizpe,2026,Extorsión por otros medios,0
Arizpe,2026,Extorsión presencial,0
Arizpe,2026,Falsedad,0
Arizpe,2026,Falsificación,0
Arizpe,2026,Feminicidio,0
Arizpe,2026,Fraude,0
Arizpe,2026,Homicidio culposo,0
Arizpe,2026,Homicidio doloso,0
Arizpe,2026,Hostigamiento sexual,0
Arizpe,2026,Incesto,0
Arizpe,2026,Incumplimiento de obligaciones de asistencia familiar,0
Arizpe,2026,Lesiones culposas,0
Arizpe,2026,Lesiones dolosas,0
Arizpe,2026,Narcomenudeo con fines de venta,0
Arizpe,2026,Narcomenudeo posesión simple,0
Arizpe,2026,Otros delitos contra el patrimonio,0
Arizpe,2026,Otros delitos contra la familia,0
Arizpe,2026,Otros delitos contra la sociedad,0
Arizpe,2026,Otros delitos del Fuero Común,0
Arizpe,2026,Otros delitos que atentan contra la libertad personal,0
Arizpe,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,0
Arizpe,2026,Otros delitos que atentan contra la vida y la integridad corporal,0
Arizpe,2026,Otros robos,0
Arizpe,2026,Pornografía infantil,0
Arizpe,2026,Privación ilegal de la libertad,0
Arizpe,2026,Rapto,0
Arizpe,2026,Retención o sustracción de menores e incapaces,0
Arizpe,2026,Robo a casa habitación,0
Arizpe,2026,Robo a institución bancaria,0
Arizpe,2026,Robo a negocio,0
Arizpe,2026,Robo a transeúnte en espacio abierto al público,0
Arizpe,2026,Robo a transeúnte en vía pública,0
Arizpe,2026,Robo a transportista,0
Arizpe,2026,Robo de autopartes,0
Arizpe,2026,Robo de ganado,0
Arizpe,2026,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",0
Arizpe,2026,Robo de maquinaria - Herramienta industrial o agrícola,0
Arizpe,2026,Robo de maquinaria - Tractores y/o montacargas,0
Arizpe,2026,Robo de vehículo automotor - Coche de 4 ruedas,0
Arizpe,2026,Robo de vehículo automotor - Embarcaciones,0
Arizpe,2026,Robo de vehículo automotor - Motocicleta,0
Arizpe,2026,Robo en transporte individual,0
Arizpe,2026,Robo en transporte público colectivo,0
Arizpe,2026,Robo en transporte público individual,0
Arizpe,2026,Secuestro con calidad de rehén,0
Arizpe,2026,Secuestro exprés,0
Arizpe,2026,Secuestro extorsivo,0
Arizpe,2026,Secuestro para causar daño,0
Arizpe,2026,Suplantación y usurpación de identidad,0
Arizpe,2026,Tentativa de extorsión por otros medios,0
Arizpe,2026,Tentativa de extorsión presencial,0
Arizpe,2026,Tentativa de feminicidio,0
Arizpe,2026,Tentativa de homicidio doloso,0
Arizpe,2026,Tortura,0
Arizpe,2026,Trata de personas con fines de explotación sexual,0
Arizpe,2026,Trata de personas con fines de trabajo o servicios forzados,0
Arizpe,2026,Trata de personas con fines de tráfico de órganos,0
Arizpe,2026,Trata de personas con otros fines,0
Arizpe,2026,Tráfico de menores,0
Arizpe,2026,Violación a la intimidad sexual,0
Arizpe,2026,Violación equiparada,0
Arizpe,2026,Violación simple,0
Arizpe,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
Arizpe,2026,Violencia familiar,0
Atil,2026,Aborto,0
Atil,2026,Abuso de confianza,0
Atil,2026,Abuso sexual,0
Atil,2026,Acoso sexual,0
Atil,2026,Allanamiento de morada,0
Atil,2026,Amenazas,0
Atil,2026,Contra el medio ambiente,0
Atil,2026,Corrupción de menores,0
Atil,2026,Daño a la propiedad,0
Atil,2026,Delitos cometidos por servidores públicos,0
Atil,2026,Delitos contra la administración de justicia,0
Atil,2026,Despojo,0
Atil,2026,Discriminación,0
Atil,2026,Electorales,0
Atil,2026,Evasión de presos,0
Atil,2026,Extorsión por otros medios,0
Atil,2026,Extorsión presencial,0
Atil,2026,Falsedad,0
Atil,2026,Falsificación,0
Atil,2026,Feminicidio,0
Atil,2026,Fraude,0
Atil,2026,Homicidio culposo,0
Atil,2026,Homicidio doloso,0
Atil,2026,Hostigamiento sexual,0
Atil,2026,Incesto,0
Atil,2026,Incumplimiento de obligaciones de asistencia familiar,0
Atil,2026,Lesiones culposas,0
Atil,2026,Lesiones dolosas,0
Atil,2026,Narcomenudeo con fines de venta,0
Atil,2026,Narcomenudeo posesión simple,0
Atil,2026,Otros delitos contra el patrimonio,0
Atil,2026,Otros delitos contra la familia,0
Atil,2026,Otros delitos contra la sociedad,0
Atil,2026,Otros delitos del Fuero Común,0
Atil,2026,Otros delitos que atentan contra la libertad personal,0
Atil,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,0
Atil,2026,Otros delitos que atentan contra la vida y la integridad corporal,0
Atil,2026,Otros robos,0
Atil,2026,Pornografía infantil,0
Atil,2026,Privación ilegal de la libertad,0
Atil,2026,Rapto,0
