Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Mes,Valor,Fecha
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Feminicidio,Tentativa de feminicidio,Tentativa de feminicidio,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Homicidio,Tentativa de homicidio doloso,Tentativa de homicidio doloso,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,Enero,0,2026-01-01
