Municipio,Año,Subtipo de delito,Sexo,Rango de edad,Valor
Agua Prieta,2026,Fraude,Mujer,30 a 60 años,1
Agua Prieta,2026,Incumplimiento de obligaciones de asistencia familiar,Hombre,0 a 12 años,13
Agua Prieta,2026,Incumplimiento de obligaciones de asistencia familiar,Hombre,13 a 17 años,2
Agua Prieta,2026,Incumplimiento de obligaciones de asistencia familiar,Hombre,18 a 29 años,1
Agua Prieta,2026,Incumplimiento de obligaciones de asistencia familiar,Mujer,0 a 12 años,8
Agua Prieta,2026,Incumplimiento de obligaciones de asistencia familiar,Mujer,13 a 17 años,9
Agua Prieta,2026,Lesiones culposas,Hombre,30 a 60 años,1
Agua Prieta,2026,Lesiones culposas,Hombre,No especificado,1
Agua Prieta,2026,Lesiones dolosas,Hombre,18 a 29 años,2
Agua Prieta,2026,Lesiones dolosas,Hombre,30 a 60 años,1
Agua Prieta,2026,Lesiones dolosas,Mujer,18 a 29 años,1
Agua Prieta,2026,Lesiones dolosas,Mujer,30 a 60 años,2
Agua Prieta,2026,Narcomenudeo con fines de venta,No identificado,No especificado,1
Agua Prieta,2026,Otros delitos contra el patrimonio,No identificado,No especificado,1
Agua Prieta,2026,Otros delitos contra la familia,Mujer,13 a 17 años,1
Agua Prieta,2026,Otros delitos del Fuero Común,Hombre,30 a 60 años,1
Agua Prieta,2026,Otros delitos del Fuero Común,Hombre,No especificado,3
Agua Prieta,2026,Otros delitos del Fuero Común,No identificado,No especificado,4
Agua Prieta,2026,Otros robos,Hombre,30 a 60 años,2
Agua Prieta,2026,Otros robos,Mujer,30 a 60 años,1
Agua Prieta,2026,Robo a casa habitación,Mujer,30 a 60 años,1
Agua Prieta,2026,Robo a negocio,Hombre,18 a 29 años,2
Agua Prieta,2026,Robo de vehículo automotor - Coche de 4 ruedas,Hombre,30 a 60 años,1
Agua Prieta,2026,Robo de vehículo automotor - Coche de 4 ruedas,Mujer,30 a 60 años,4
Agua Prieta,2026,Robo de vehículo automotor - Coche de 4 ruedas,Mujer,No especificado,1
Agua Prieta,2026,Robo de vehículo automotor - Motocicleta,Hombre,30 a 60 años,1
Agua Prieta,2026,Tentativa de feminicidio,Mujer,30 a 60 años,1
Agua Prieta,2026,Tentativa de homicidio doloso,Hombre,No especificado,1
Agua Prieta,2026,Violación equiparada,Mujer,0 a 12 años,1
Agua Prieta,2026,Violación simple,Mujer,0 a 12 años,1
Agua Prieta,2026,Violación simple,Mujer,30 a 60 años,1
Agua Prieta,2026,Violencia de género en todas sus modalidades distinta a la violencia familiar,No identificado,30 a 60 años,1
Agua Prieta,2026,Violencia familiar,Hombre,13 a 17 años,1
Agua Prieta,2026,Violencia familiar,Hombre,18 a 29 años,1
Agua Prieta,2026,Violencia familiar,Hombre,30 a 60 años,2
Agua Prieta,2026,Violencia familiar,Hombre,Más de 60 años,1
Agua Prieta,2026,Violencia familiar,Hombre,No especificado,2
Agua Prieta,2026,Violencia familiar,Mujer,13 a 17 años,2
Agua Prieta,2026,Violencia familiar,Mujer,18 a 29 años,7
Agua Prieta,2026,Violencia familiar,Mujer,30 a 60 años,13
Agua Prieta,2026,Violencia familiar,Mujer,Más de 60 años,2
Agua Prieta,2026,Violencia familiar,Mujer,No especificado,6
Altar,2026,Despojo,Mujer,30 a 60 años,1
Altar,2026,Narcomenudeo con fines de venta,No identificado,No especificado,4
